Name,Height,Weight,Body_mass_index,Games_Played,Goals,Assists,Shots_on_Goal,Points,Succesful Players
Alex Ovechkin,190,108,29.9,1152,706.0,572.0,5545.0,1278.0,True
Anze Kopitar,190,102,28.2,1073,333.0,617.0,2600.0,950.0,True
Corey Perry,190,95,26.3,1045,377.0,420.0,2947.0,797.0,True
Daniel Alfredsson,180,92,28.4,975,366.0,581.0,2700.0,947.0,True
Daniel Sedin,185,85,24.8,1306,393.0,648.0,3474.0,1041.0,True
Dany Heatley,193,100,26.9,869,372.0,419.0,2565.0,791.0,True
Eric Staal,193,93,25.0,1240,436.0,585.0,3853.0,1021.0,True
Evgeni Malkin,190,88,24.4,907,416.0,660.0,3045.0,1076.0,True
Henrik Zetterberg,183,89,26.6,1082,337.0,623.0,3455.0,960.0,True
Ilya Kovalchuk,190,104,28.8,926,443.0,433.0,3223.0,876.0,True
Jarome Iginla,185,95,27.8,1320,563.0,604.0,4225.0,1167.0,True
Jaromir Jagr,190,104,28.8,1071,421.0,638.0,3333.0,1059.0,True
Jason Spezza,190,98,27.1,1123,341.0,599.0,2688.0,940.0,True
Jeff Carter,193,98,26.3,1040,382.0,350.0,3384.0,732.0,True
Joe Pavelski,180,86,26.5,1030,369.0,423.0,2973.0,792.0,True
Joe Thornton,193,100,26.9,1500,401.0,1060.0,2839.0,1461.0,True
John Tavares,185,96,28.1,814,345.0,424.0,2593.0,769.0,True
Jonathan Toews,188,91,25.8,943,345.0,470.0,2483.0,815.0,True
Justin Williams,185,84,24.5,1264,320.0,477.0,3308.0,797.0,True
Marian Gaborik,185,93,27.2,1035,407.0,408.0,3207.0,815.0,True
Marian Hossa,185,94,27.5,1242,510.0,593.0,4095.0,1103.0,True
Martin St. Louis,173,80,26.7,1121,390.0,641.0,2870.0,1031.0,True
Milan Hejduk,183,86,25.7,938,361.0,396.0,2489.0,757.0,True
Olli Jokinen,188,95,26.9,1157,312.0,417.0,3244.0,729.0,True
Patrice Bergeron,185,88,25.7,1089,352.0,517.0,3250.0,869.0,True
Patrick Kane,178,80,25.2,973,389.0,633.0,3206.0,1022.0,True
Patrick Marleau,188,98,27.7,1568,528.0,583.0,4055.0,1111.0,True
Patrik Elias,185,88,25.7,1074,371.0,562.0,2958.0,933.0,True
Pavel Datsyuk,180,90,27.8,953,314.0,604.0,2245.0,918.0,True
Phil Kessel,183,92,27.5,1066,371.0,490.0,3410.0,861.0,True
Rick Nash,193,100,26.9,1060,437.0,368.0,3624.0,805.0,True
Ryan Smyth,188,87,24.6,1001,312.0,394.0,2735.0,706.0,True
Scott Hartnell,188,97,27.4,1249,327.0,380.0,2777.0,707.0,True
Shane Doan,185,101,29.5,1291,380.0,530.0,3541.0,910.0,True
Sidney Crosby,180,91,28.1,984,462.0,801.0,3172.0,1263.0,True
Steven Stamkos,185,88,25.7,803,422.0,410.0,2498.0,832.0,True
Teemu Selanne,183,90,26.9,966,371.0,442.0,2706.0,813.0,True
Thomas Vanek,188,97,27.4,1029,373.0,416.0,2609.0,789.0,True
Vincent Lecavalier,193,98,26.3,1130,408.0,513.0,3343.0,921.0,True
Zach Parise,180,89,27.5,1015,386.0,406.0,3316.0,792.0,True
